Bar,Location
Lab 22, Cardiff
Swift, Soho
The Connaught Bar, Mayfair
Tayēr + Elementary, Shoreditch
Satan’s Whiskers, Bethnal Green
Bramble Bar & Lounge, Edinburgh
Three Sheets, Hackney
Oriole, Smithfield Market
Panda and Sons, Edinburgh
Speak in Code, Manchester
🔶🟥🔵, Haggerston
Disrepute, Soho
Nightjar, Shoreditch
Homeboy Bar, Islington
American Bar, Covent Garden
SCHOFIELD’S BAR, Manchester
Opium Cocktails & Dim Sum Parlour, Chinatown
Coupette, Bethnal Green
Artesian, Marylebone
Scarfes Bar, Covent Garden
Trailer Happiness, Notting Hill
Lucky Liquor co., Edinburgh
Happiness Forgets, Shoreditch
Jake’s Bar & Still Room, Leeds
Little Mercies, Crouch End
The Absent Ear, Glasgow
The Milk Thistle, Bristol
Berry & Rye, Liverpool
Laki Kane, Islington
Filthy XIII, Bristol
Lyaness, South Bank
Roland’s Leeds, Leeds
Gungho!, Brighton
Hacha, Dalston
The Hideout, Bath
Pennyroyal, Cardiff
Couch, Birmingham
Bar Termini, Soho
Below Stairs, Leeds
Hey Palu, Edinburgh
Public, Sheffield
Hedonist, Leeds
Present Company, Liverpool
The Pineapple Club, Birmingham
Publiq, South Kensington
Ojo Rojo, Bournemouth
L’ Atelier du Vin, Brighton
Callooh Callay, Shoreditch
Mother Mercy, Newcastle upon Tyne
The Cocktail Trading Co, Shoreditch
